"dateRep","cases","deaths","country","popData2019","cumulative_14d_cases"
"7/12/2020",2654,87,"Czechia",10649800,512.4039888
"6/12/2020",1773,77,"Czechia",10649800,501.6901726
"5/12/2020",4743,97,"Czechia",10649800,514.9674172
"4/12/2020",4621,126,"Czechia",10649800,524.967605
"3/12/2020",4568,108,"Czechia",10649800,542.3388233
"2/12/2020",5176,112,"Czechia",10649800,551.231009
"1/12/2020",3575,157,"Czechia",10649800,542.4984507
"30/11/2020",1074,84,"Czechia",10649800,559.7006517
"29/11/2020",2665,87,"Czechia",10649800,567.3345978
"28/11/2020",4464,188,"Czechia",10649800,581.7386242
"27/11/2020",6305,168,"Czechia",10649800,608.8846739
"26/11/2020",2681,112,"Czechia",10649800,623.5797855
"25/11/2020",5896,139,"Czechia",10649800,682.2099946
"24/11/2020",4375,164,"Czechia",10649800,711.403031
"23/11/2020",1513,101,"Czechia",10649800,727.1028564
"22/11/2020",3187,74,"Czechia",10649800,746.7745873
"21/11/2020",5808,147,"Czechia",10649800,789.3669365
"20/11/2020",6471,134,"Czechia",10649800,843.3022216
"19/11/2020",5515,182,"Czechia",10649800,906.7588124
"18/11/2020",4246,142,"Czechia",10649800,1002.685496
"17/11/2020",5407,208,"Czechia",10649800,1076.330072
"16/11/2020",1887,150,"Czechia",10649800,1112.434036
"15/11/2020",4199,132,"Czechia",10649800,1156.143777
"14/11/2020",7355,171,"Czechia",10649800,1224.032376
"13/11/2020",7870,185,"Czechia",10649800,1282.718924
"12/11/2020",8925,247,"Czechia",10649800,1331.405285
"11/11/2020",9005,249,"Czechia",10649800,1369.481117
"10/11/2020",6047,216,"Czechia",10649800,1431.998723
"9/11/2020",3608,177,"Czechia",10649800,1471.680219
"8/11/2020",7723,155,"Czechia",10649800,1506.347537
"7/11/2020",11552,196,"Czechia",10649800,1550.958703
"6/11/2020",13229,197,"Czechia",10649800,1585.757479
"5/11/2020",15731,220,"Czechia",10649800,1594.405529
"4/11/2020",12089,259,"Czechia",10649800,1587.250465
"3/11/2020",9252,225,"Czechia",10649800,1586.264531
"2/11/2020",6542,178,"Czechia",10649800,1575.23146
"1/11/2020",11429,173,"Czechia",10649800,1561.296926
"31/10/2020",13605,216,"Czechia",10649800,1535.812879
"30/10/2020",13055,187,"Czechia",10649800,1512.31009
"29/10/2020",12980,128,"Czechia",10649800,1480.994948
"28/10/2020",15663,182,"Czechia",10649800,1448.722042
"27/10/2020",10273,164,"Czechia",10649800,1379.828729
"26/10/2020",7300,124,"Czechia",10649800,1323.846457
"25/10/2020",12474,106,"Czechia",10649800,1284.437266
"24/10/2020",15258,126,"Czechia",10649800,1210.811471
"23/10/2020",14150,106,"Czechia",10649800,1148.453492
"22/10/2020",14969,120,"Czechia",10649800,1066.264155
"21/10/2020",11984,106,"Czechia",10649800,975.830532
"20/10/2020",8077,91,"Czechia",10649800,905.1437586
"19/10/2020",5058,70,"Czechia",10649800,858.5982835
"18/10/2020",8715,69,"Czechia",10649800,828.3911435
"17/10/2020",11102,53,"Czechia",10649800,770.5402918
"16/10/2020",9720,58,"Czechia",10649800,701.9380646
"15/10/2020",9543,66,"Czechia",10649800,660.7729723
"14/10/2020",8326,55,"Czechia",10649800,581.2691318
"13/10/2020",4311,17,"Czechia",10649800,521.4933614
"12/10/2020",3103,39,"Czechia",10649800,493.0890721
"11/10/2020",4633,90,"Czechia",10649800,476.1873462
"10/10/2020",8617,36,"Czechia",10649800,451.2385209
"9/10/2020",5397,40,"Czechia",10649800,397.9699149
"8/10/2020",5338,35,"Czechia",10649800,374.6173637
"7/10/2020",4456,36,"Czechia",10649800,346.1473455
"6/10/2020",3120,31,"Czechia",10649800,326.7854795
"5/10/2020",1841,16,"Czechia",10649800,311.7992826
"4/10/2020",2554,12,"Czechia",10649800,303.2826908
"3/10/2020",3796,21,"Czechia",10649800,298.4938684
"2/10/2020",5336,23,"Czechia",10649800,282.6344157
"1/10/2020",1076,19,"Czechia",10649800,261.8546827
"30/09/2020",1960,18,"Czechia",10649800,271.8079213
"29/09/2020",1286,12,"Czechia",10649800,269.1224248
"28/09/2020",1303,15,"Czechia",10649800,266.7561832
"27/09/2020",1976,10,"Czechia",10649800,261.9110218
"26/09/2020",2944,14,"Czechia",10649800,257.8264381
"25/09/2020",2910,12,"Czechia",10649800,243.7698361
"24/09/2020",2306,24,"Czechia",10649800,229.3751995
"23/09/2020",2394,9,"Czechia",10649800,218.6050442
"22/09/2020",1524,19,"Czechia",10649800,207.027362
"21/09/2020",934,4,"Czechia",10649800,197.9755488
"20/09/2020",2044,4,"Czechia",10649800,192.9989296
"19/09/2020",2107,6,"Czechia",10649800,178.5291743
"18/09/2020",3123,7,"Czechia",10649800,166.2284738
"17/09/2020",2136,6,"Czechia",10649800,143.279686
"16/09/2020",1674,11,"Czechia",10649800,129.3827114
"15/09/2020",1034,9,"Czechia",10649800,118.3496404
"14/09/2020",787,3,"Czechia",10649800,110.9973896
"13/09/2020",1541,3,"Czechia",10649800,106.1710079
"12/9/2020",1447,2,"Czechia",10649800,94.67783433
"11/9/2020",1377,4,"Czechia",10649800,85.56968206
"10/9/2020",1159,3,"Czechia",10649800,75.91691863
"9/9/2020",1161,4,"Czechia",10649800,68.81819377
"8/9/2020",560,1,"Czechia",10649800,61.3626547
"7/9/2020",404,5,"Czechia",10649800,58.52692069
"6/9/2020",503,2,"Czechia",10649800,55.98227197
"5/9/2020",797,3,"Czechia",10649800,53.50335218
"4/9/2020",679,1,"Czechia",10649800,50.7709065
"3/9/2020",656,0,"Czechia",10649800,46.71449229
"2/9/2020",499,1,"Czechia",10649800,43.51255423
"1/9/2020",251,1,"Czechia",10649800,41.46556743
"31/08/2020",273,2,"Czechia",10649800,40.89278672
"30/08/2020",317,2,"Czechia",10649800,39.46552987
"29/08/2020",477,1,"Czechia",10649800,38.34813799
"28/08/2020",349,0,"Czechia",10649800,36.61101617
"27/08/2020",403,2,"Czechia",10649800,36.39504967
"26/08/2020",367,1,"Czechia",10649800,35.35277658
"25/08/2020",258,3,"Czechia",10649800,34.62036846
"24/08/2020",133,1,"Czechia",10649800,33.50297658
"23/08/2020",239,0,"Czechia",10649800,33.38090856
"22/08/2020",506,5,"Czechia",10649800,32.77995831
"21/08/2020",247,2,"Czechia",10649800,31.03344664
"20/08/2020",315,3,"Czechia",10649800,30.69541212
"19/08/2020",281,2,"Czechia",10649800,30.01934309
"18/08/2020",190,2,"Czechia",10649800,29.99117354
"17/08/2020",121,2,"Czechia",10649800,30.1601908
"16/08/2020",198,1,"Czechia",10649800,29.97239385
"15/08/2020",292,3,"Czechia",10649800,29.28693497
"14/08/2020",326,0,"Czechia",10649800,28.7235441
"13/08/2020",292,0,"Czechia",10649800,28.00052583
"12/8/2020",289,2,"Czechia",10649800,28.01930553
"11/8/2020",139,0,"Czechia",10649800,27.96296644
"10/8/2020",120,0,"Czechia",10649800,28.46062837
"9/8/2020",175,0,"Czechia",10649800,28.38550959
"8/8/2020",320,0,"Czechia",10649800,27.97235629
"7/8/2020",211,1,"Czechia",10649800,27.60615223
"6/8/2020",243,5,"Czechia",10649800,27.78455933
"5/8/2020",278,0,"Czechia",10649800,27.81272888
"4/8/2020",208,0,"Czechia",10649800,27.3244568
"3/8/2020",101,0,"Czechia",10649800,26.80801517
"2/8/2020",125,1,"Czechia",10649800,26.70472685
"1/8/2020",232,3,"Czechia",10649800,26.59204868
